 dphi  deta               dphi_val               deta_val            one_over_dr_sq one_over_dr_sq_rounded one_over_dr_sq_fw_lut   rom_nr
    0     0                    0.0                    0.0                 undefined          undefined         undefined        1
    1     0    0.04363323129985824                    0.0         525.2490160018791          525.24902          52524902        1
    2     0    0.08726646259971647                    0.0        131.31225400046978          131.31225          13131225        1
    3     0     0.1308996938995747                    0.0        58.361001777986566             58.361           5836100        1
    4     0    0.17453292519943295                    0.0        32.828063500117445           32.82806           3282806        1
    5     0     0.2181661564992912                    0.0         21.00996064007516           21.00996           2100996        1
    6     0     0.2617993877991494                    0.0        14.590250444496641           14.59025           1459025        1
    7     0    0.30543261909900765                    0.0        10.719367673507737           10.71937           1071937        1
    8     0     0.3490658503988659                    0.0         8.207015875029361            8.20702            820702        1
    9     0    0.39269908169872414                    0.0         6.484555753109618            6.48456            648456        1
   10     0     0.4363323129985824                    0.0          5.25249016001879            5.25249            525249        1
   11     0    0.47996554429844057                    0.0         4.340900958693216             4.3409            434090        1
   12     0     0.5235987755982988                    0.0        3.6475626111241604            3.64756            364756        1
   13     0     0.5672320068981571                    0.0         3.107982343206385            3.10798            310798        1
   14     0     0.6108652381980153                    0.0         2.679841918376934            2.67984            267984        1
   15     0     0.6544984694978735                    0.0         2.334440071119463            2.33444            233444        1
   16     0     0.6981317007977318                    0.0        2.0517539687573403            2.05175            205175        1
   17     0     0.7417649320975901                    0.0        1.8174706436051176            1.81747            181747        1
   18     0     0.7853981633974483                    0.0        1.6211389382774044            1.62114            162114        1
   19     0     0.8290313946973065                    0.0          1.45498342382792            1.45498            145498        1
   20     0     0.8726646259971648                    0.0        1.3131225400046975            1.31312            131312        1
   21     0     0.9162978572970231                    0.0        1.1910408526119705            1.19104            119104        1
   22     0     0.9599310885968811                    0.0         1.085225239673304            1.08523            108523        1
   23     0     1.0035643198967394                    0.0        0.9929092930092233            0.99291             99291        1
   24     0     1.0471975511965976                    0.0        0.9118906527810401            0.91189             91189        1
   25     0      1.090830782496456                    0.0        0.8403984256030063             0.8404             84040        1
   26     0     1.1344640137963142                    0.0        0.7769955858015962              0.777             77700        1
   27     0     1.1780972450961724                    0.0        0.7205061947899575            0.72051             72051        1
   28     0     1.2217304763960306                    0.0        0.6699604795942335            0.66996             66996        1
   29     0      1.265363707695889                    0.0        0.6245529322257776            0.62455             62455        1
   30     0      1.308996938995747                    0.0        0.5836100177798658            0.58361             58361        1
   31     0     1.3526301702956054                    0.0        0.5465650530716744            0.54657             54657        1
   32     0     1.3962634015954636                    0.0        0.5129384921893351            0.51294             51294        1
   33     0      1.439896632895322                    0.0        0.4823223287436905            0.48232             48232        1
   34     0     1.4835298641951802                    0.0        0.4543676609012794            0.45437             45437        1
   35     0     1.5271630954950384                    0.0       0.42877470694030945            0.42877             42877        1
   36     0     1.5707963267948966                    0.0        0.4052847345693511            0.40528             40528        1
   37     0     1.6144295580947547                    0.0       0.38367349598384154            0.38367             38367        1
   38     0      1.658062789394613                    0.0          0.36374585595698            0.36375             36375        1
   39     0     1.7016960206944711                    0.0       0.34533137146737614            0.34533             34533        1
   40     0     1.7453292519943295                    0.0        0.3282806350011744            0.32828             32828        1
   41     0     1.7889624832941875                    0.0         0.312462234385413            0.31246             31246        1
   42     0     1.8325957145940461                    0.0        0.2977602131529926            0.29776             29776        1
   43     0      1.876228945893904                    0.0       0.28407193942773346            0.28407             28407        1
   44     0     1.9198621771937623                    0.0         0.271306309918326            0.27131             27131        1
   45     0     1.9634954084936207                    0.0        0.2593822301243847            0.25938             25938        1
   46     0      2.007128639793479                    0.0       0.24822732325230581            0.24823             24823        1
   47     0     2.0507618710933375                    0.0       0.23777682933539107            0.23778             23778        1
   48     0     2.0943951023931953                    0.0       0.22797266319526002            0.22797             22797        1
   49     0     2.1380283336930535                    0.0        0.2187626055817906            0.21876             21876        1
   50     0      2.181661564992912                    0.0       0.21009960640075157             0.2101             21010        1
   51     0     2.2252947962927703                    0.0       0.20194118262279082            0.20194             20194        1
