   idx  dphi_idx  deta_idx               dphi_val               deta_val                 inv_dr_sq  inv_dr_sq_rounded  inv_dr_sq_fw_lut
     0         0         0                    0.0                    0.0                 undefined          undefined         undefined
     1         1         0    0.04363323129985824                    0.0         525.2490160018791         525.249016         525249016
     2         2         0    0.08726646259971647                    0.0        131.31225400046978         131.312254         131312254
     3         3         0     0.1308996938995747                    0.0        58.361001777986566          58.361002          58361002
     4         4         0    0.17453292519943295                    0.0        32.828063500117445          32.828064          32828064
     5         5         0     0.2181661564992912                    0.0         21.00996064007516          21.009961          21009961
     6         6         0     0.2617993877991494                    0.0        14.590250444496641           14.59025          14590250
     7         7         0    0.30543261909900765                    0.0        10.719367673507737          10.719368          10719368
     8         8         0     0.3490658503988659                    0.0         8.207015875029361           8.207016           8207016
     9         9         0    0.39269908169872414                    0.0         6.484555753109618           6.484556           6484556
    10        10         0     0.4363323129985824                    0.0          5.25249016001879            5.25249           5252490
    11        11         0    0.47996554429844057                    0.0         4.340900958693216           4.340901           4340901
    12        12         0     0.5235987755982988                    0.0        3.6475626111241604           3.647563           3647563
    13        13         0     0.5672320068981571                    0.0         3.107982343206385           3.107982           3107982
    14        14         0     0.6108652381980153                    0.0         2.679841918376934           2.679842           2679842
    15        15         0     0.6544984694978735                    0.0         2.334440071119463            2.33444           2334440
    16        16         0     0.6981317007977318                    0.0        2.0517539687573403           2.051754           2051754
    17        17         0     0.7417649320975901                    0.0        1.8174706436051176           1.817471           1817471
    18        18         0     0.7853981633974483                    0.0        1.6211389382774044           1.621139           1621139
    19        19         0     0.8290313946973065                    0.0          1.45498342382792           1.454983           1454983
    20        20         0     0.8726646259971648                    0.0        1.3131225400046975           1.313123           1313123
    21        21         0     0.9162978572970231                    0.0        1.1910408526119705           1.191041           1191041
    22        22         0     0.9599310885968811                    0.0         1.085225239673304           1.085225           1085225
    23        23         0     1.0035643198967394                    0.0        0.9929092930092233           0.992909            992909
    24        24         0     1.0471975511965976                    0.0        0.9118906527810401           0.911891            911891
    25        25         0      1.090830782496456                    0.0        0.8403984256030063           0.840398            840398
